Name,Pos,IP,SO,QS,W,SV,Hold,ERA,WHIP,Score,$
Clay Holmes,RP,48.0,55,0.0,4,16,5.0,3.0,1.25,0.6161428571428572,5.41
Brusdar Graterol,RP,54.0,39,0.0,4,6,16.0,1.5,1.074,0.6132857142857143,5.38
Miles Mikolas,SP,152.1,107,10.0,6,0,0.0,4.55,1.3,0.6111428571428571,5.36
Bryce Miller,SP,97.2,89,8.0,8,0,0.0,3.78,1.014,0.6095714285714287,5.35
Seth Lugo,SP,109.1,107,12.0,5,0,0.0,3.7,1.226,0.6082857142857142,5.34
Evan Phillips,RP,48.0,52,0.0,1,19,6.0,2.44,0.792,0.6077142857142857,5.33
Alex Cobb,SP,132.1,117,10.0,6,0,0.0,3.74,1.375,0.6065714285714285,5.32
Josiah Gray,SP,135.2,118,9.0,7,0,0.0,3.85,1.445,0.6048571428571429,5.31
Giovanny Gallegos,RP,48.1,48,0.0,2,9,16.0,3.72,1.117,0.6022857142857142,5.29
Will Smith*,RP,46.1,45,0.0,1,22,5.0,4.27,0.993,0.5935714285714285,5.21
Chris Martin,RP,43.0,36,0.0,4,1,21.0,1.26,1.047,0.5932857142857141,5.21
Scott McGough,RP,60.1,74,0.0,1,9,13.0,4.48,1.21,0.5908571428571429,5.19
Justin Topa,RP,51.1,47,0.0,3,2,20.0,2.1,1.13,0.5874285714285714,5.16
Julian Merryweather,RP,57.2,79,0.0,5,0,13.0,3.43,1.335,0.586142857142857,5.14
Drew Smyly*,SP,124.1,116,5.0,9,0,0.0,5.28,1.416,0.5845714285714286,5.13
Andrew Nardi*,RP,43.1,58,0.0,6,2,11.0,3.12,1.062,0.5751428571428571,5.05
Andrew Abbott*,SP,85.1,93,8.0,8,0,0.0,3.16,1.172,0.5720000000000001,5.02
Josh Sborz,RP,46.0,62,0.0,5,0,14.0,4.89,1.087,0.568,4.98
Michael King,RP,69.0,82,0.0,3,6,8.0,3.13,1.174,0.5630000000000001,4.94
Danny Coulombe*,RP,39.0,48,0.0,3,1,20.0,2.77,1.103,0.5601428571428573,4.92
Kirby Yates,RP,49.2,66,0.0,7,2,7.0,2.9,1.188,0.5588571428571429,4.9
Mike Baumann,RP,61.1,59,0.0,9,0,6.0,3.82,1.321,0.5554285714285713,4.87
Justin Lawrence,RP,61.0,62,0.0,3,10,8.0,3.84,1.23,0.553142857142857,4.85
A.J. Puk*,RP,41.2,58,0.0,5,15,0.0,4.32,1.152,0.5524285714285716,4.85
Andrés Muñoz,RP,35.2,49,0.0,3,8,13.0,2.78,1.234,0.542,4.76
Reynaldo López,RP,52.2,70,0.0,2,6,13.0,3.76,1.291,0.5414285714285715,4.75
Steven Wilson,RP,52.2,57,0.0,1,0,22.0,3.25,1.101,0.5395714285714285,4.74
Shane Bieber,SP,117.0,95,11.0,5,0,0.0,3.77,1.248,0.5394285714285714,4.73
Tim Mayza*,RP,44.2,42,0.0,3,1,20.0,1.01,1.164,0.5368571428571427,4.71
James Paxton*,SP,90.1,97,8.0,7,0,0.0,3.79,1.218,0.5367142857142857,4.71
Josh Winckowski,RP,67.2,63,0.0,3,3,15.0,3.06,1.433,0.5297142857142857,4.65
Kendall Graveman,RP,56.1,56,0.0,3,8,10.0,3.36,1.225,0.5278571428571429,4.63
Clarke Schmidt,SP,123.0,121,3.0,8,0,0.0,4.68,1.341,0.5274285714285715,4.63
Rich Hill*,SP,130.1,115,7.0,7,0,0.0,5.18,1.481,0.5268571428571429,4.62
Elvis Peguero,RP,51.2,45,0.0,4,1,17.0,3.66,1.258,0.5264285714285714,4.62
Kyle Nelson*,RP,47.0,59,0.0,7,0,9.0,3.26,1.255,0.5258571428571428,4.62
Pierce Johnson,RP,51.0,74,0.0,2,13,7.0,4.76,1.667,0.5247142857142856,4.61
Matt Moore*,RP,41.0,44,0.0,3,0,19.0,2.2,0.951,0.5235714285714286,4.6
Kevin Ginkel,RP,52.2,51,0.0,7,3,5.0,2.22,0.949,0.5188571428571428,4.55
Domingo Germán,SP,108.2,114,6.0,5,0,0.0,4.56,1.077,0.5105714285714286,4.48
Enyel De Los Santos,RP,52.1,49,0.0,5,0,13.0,3.1,1.07,0.5102857142857143,4.48
Taylor Rogers*,RP,43.1,53,0.0,6,1,10.0,2.7,1.131,0.5091428571428571,4.47
Tyler Glasnow,SP,80.2,110,6.0,6,0,0.0,3.35,1.091,0.5004285714285714,4.39
Gregory Soto*,RP,47.2,47,0.0,3,2,16.0,4.72,1.217,0.4897142857142857,4.3
Yimi García,RP,52.2,59,0.0,3,3,13.0,3.93,1.291,0.48671428571428565,4.27
Andrew Chafin*,RP,39.2,54,0.0,2,8,12.0,5.22,1.487,0.473,4.15
Wandy Peralta*,RP,46.1,43,0.0,3,4,14.0,3.3,1.23,0.4722857142857143,4.14
Buck Farmer,RP,61.0,55,0.0,4,2,10.0,3.84,1.115,0.47171428571428564,4.14
Brooks Raley*,RP,42.2,46,0.0,0,3,21.0,2.53,1.266,0.46428571428571414,4.07
Tyler Holton*,RP,66.2,61,0.0,3,1,9.0,1.62,0.825,0.4625714285714286,4.06
Griffin Canning,SP,91.2,101,5.0,7,0,0.0,4.61,1.255,0.46171428571428574,4.05
Colin Holderman,RP,45.0,51,0.0,0,2,21.0,3.2,1.311,0.4608571428571428,4.04
Logan Allen*,SP,103.1,100,7.0,6,0,0.0,3.31,1.335,0.4577142857142858,4.02
Alex Young*,RP,49.0,45,0.0,4,1,14.0,3.31,1.347,0.45385714285714285,3.98
Nick Anderson,RP,35.1,36,0.0,4,1,15.0,3.06,1.104,0.45357142857142857,3.98
Huascar Brazoban,RP,56.2,60,0.0,4,0,13.0,4.29,1.465,0.45342857142857146,3.98
Jameson Taillon,SP,115.2,100,5.0,7,0,0.0,5.6,1.349,0.45185714285714285,3.97
JP Sears*,SP,134.2,127,7.0,2,0,0.0,4.61,1.203,0.44214285714285717,3.88
Patrick Sandoval*,SP,117.0,102,7.0,6,0,0.0,4.08,1.453,0.4401428571428573,3.86
Reid Detmers*,SP,120.0,139,6.0,3,0,0.0,5.03,1.383,0.43514285714285716,3.82
Aaron Civale,SP,97.1,78,7.0,6,0,0.0,2.59,1.099,0.43257142857142855,3.8
Tony Gonsolin,SP,103.0,82,4.0,8,0,0.0,4.98,1.223,0.431,3.78
Drew Smith,RP,43.2,51,0.0,4,2,11.0,3.92,1.328,0.43042857142857144,3.78
Emilio Pagán,RP,54.2,51,0.0,5,0,8.0,3.29,0.988,0.429,3.77
Martín Pérez*,SP,115.1,72,8.0,8,0,0.0,4.92,1.526,0.4254285714285713,3.73
Pete Fairbanks,RP,31.2,41,0.0,2,16,2.0,2.56,0.979,0.4201428571428571,3.69
Michael Fulmer,RP,56.1,63,0.0,3,1,11.0,4.47,1.331,0.4185714285714286,3.67
Kyle Hendricks,SP,98.2,64,10.0,5,0,0.0,3.83,1.135,0.4105714285714286,3.6
Aaron Bummer*,RP,47.2,60,0.0,4,0,11.0,6.42,1.469,0.4089999999999999,3.59
Drew VerHagen,RP,49.1,51,0.0,4,0,12.0,4.2,1.399,0.4071428571428571,3.57
Bobby Miller,SP,81.2,75,6.0,7,0,0.0,3.86,1.163,0.40499999999999997,3.55
Michael Kopech,SP,120.0,122,5.0,5,0,0.0,4.95,1.492,0.4032857142857143,3.54
Nick Sandlin,RP,48.1,51,0.0,5,0,7.0,3.72,1.034,0.3938571428571428,3.46
Bryan Baker,RP,42.0,51,0.0,4,0,11.0,3.64,1.31,0.3932857142857143,3.45
Gabe Speier*,RP,43.1,48,0.0,2,1,13.0,3.32,0.969,0.3915714285714285,3.44
Kevin Kelly,RP,54.1,45,0.0,4,1,9.0,3.48,1.104,0.3874285714285714,3.4
Steven Okert*,RP,46.0,59,0.0,3,0,10.0,2.93,1.087,0.38628571428571423,3.39
José Cisnero,RP,46.2,54,0.0,2,2,13.0,4.82,1.414,0.3847142857142857,3.38
Kyle Freeland*,SP,129.0,83,9.0,5,0,0.0,5.02,1.473,0.37928571428571434,3.33
Adam Ottavino,RP,50.0,46,0.0,0,7,12.0,3.24,1.18,0.37899999999999995,3.33
Hoby Milner*,RP,51.2,47,0.0,2,0,13.0,2.26,1.026,0.37299999999999994,3.27
Ryne Nelson,SP,125.0,82,7.0,6,0,0.0,5.47,1.456,0.37014285714285716,3.25
Ron Marinaccio,RP,46.1,55,0.0,4,2,7.0,4.08,1.295,0.36999999999999994,3.25
Trevor May,RP,36.0,29,0.0,4,14,1.0,4.25,1.5,0.36699999999999994,3.22
Phil Maton,RP,53.1,58,0.0,3,1,8.0,3.04,1.125,0.36528571428571427,3.21
Peter Strzelecki,RP,37.0,37,0.0,3,0,14.0,4.38,1.216,0.36457142857142866,3.2
Eli Morgan,RP,52.1,56,0.0,4,1,8.0,3.27,1.414,0.36300000000000004,3.19
Brock Burke*,RP,50.1,39,0.0,4,0,10.0,3.4,1.093,0.3625714285714286,3.18
Trevor Richards,RP,56.1,86,0.0,1,0,9.0,3.67,1.26,0.3617142857142857,3.17
Mason Thompson,RP,49.0,40,0.0,4,1,10.0,4.78,1.408,0.34628571428571425,3.04
Chris Sale*,SP,73.0,90,5.0,5,0,0.0,4.68,1.137,0.34,2.98
Anthony DeSclafani,SP,99.2,79,8.0,4,0,0.0,4.88,1.254,0.33685714285714285,2.96
Tyler Anderson*,SP,117.2,100,6.0,5,0,0.0,5.35,1.53,0.3368571428571428,2.96
Wade Miley*,SP,87.2,59,7.0,6,0,0.0,3.18,1.175,0.33371428571428563,2.93
Jake Bird,RP,76.0,65,0.0,2,0,9.0,3.79,1.342,0.33257142857142863,2.92
Seranthony Domínguez,RP,36.0,35,0.0,3,2,12.0,4.0,1.583,0.32157142857142856,2.82
Trevor Williams,SP,123.2,94,4.0,6,0,0.0,4.95,1.488,0.3201428571428572,2.81
Eury Pérez,SP,68.0,83,5.0,5,0,0.0,2.91,1.074,0.32,2.81
Yency Almonte,RP,48.0,49,0.0,3,0,10.0,5.06,1.396,0.31499999999999995,2.76
