Name,PrimaryPos,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,Score,$
Vladimir Guerrero Jr.,1B,478,2.155,1.955,3.052,0.499,2.61,2.131,1.755,2.0224285714285712,7.06
Seiya Suzuki,OF,385,2.104,1.564,1.729,0.624,2.306,3.612,2.218,2.0224285714285712,7.06
Josh Naylor*,1B,360,1.334,1.564,3.357,0.749,1.032,3.335,2.783,2.0220000000000002,7.06
Cal Raleigh#,C,388,2.77,2.998,2.746,0.0,2.185,1.039,2.408,2.020857142857143,7.05
Bryan De La Cruz,OF,463,1.847,1.955,2.695,0.374,1.82,3.334,2.042,2.0095714285714283,7.02
Leody Taveras#,OF,402,2.104,1.434,2.39,1.372,1.092,3.479,2.124,1.9992857142857148,6.98
Matt Chapman,3B,447,2.514,1.955,1.882,0.374,3.095,1.986,2.137,1.9918571428571428,6.95
Taylor Ward,OF,356,2.463,1.695,1.881,0.499,2.063,3.232,2.097,1.9900000000000002,6.95
Spencer Torkelson,1B,472,2.72,2.606,2.797,0.374,2.853,0.433,1.958,1.9630000000000003,6.85
Nolan Jones*,OF,241,1.18,1.564,1.475,0.998,1.456,3.952,3.111,1.9622857142857144,6.85
Xander Bogaerts,SS,464,2.206,1.695,1.831,1.622,2.368,2.234,1.74,1.9565714285714286,6.83
Eugenio Suárez,3B,470,2.001,2.346,3.459,0.249,3.095,1.286,1.249,1.955,6.82
J.T. Realmuto,C,392,2.463,1.825,2.136,1.497,1.396,2.069,2.241,1.9467142857142856,6.8
Andrew Benintendi*,OF,451,2.566,0.391,1.373,1.622,2.245,4.374,1.055,1.9465714285714282,6.8
Jonathan India,2B,394,2.823,1.825,2.289,1.497,2.003,1.698,1.47,1.9435714285714287,6.78
Jonah Heim#,C,352,2.206,1.695,3.153,0.249,1.457,2.686,2.142,1.941142857142857,6.78
J.P. Crawford*,SS,396,2.719,1.173,1.577,0.125,3.885,2.038,1.907,1.9177142857142857,6.69
Jarred Kelenic*,OF,326,1.591,1.304,1.78,1.497,1.699,3.19,2.349,1.9157142857142857,6.69
Ezequiel Duran,SS,351,1.898,1.695,1.831,0.998,0.789,3.005,3.08,1.8994285714285712,6.63
Hunter Renfroe,OF,442,2.104,2.216,2.136,0.0,1.82,2.748,2.263,1.8981428571428574,6.63
Max Kepler*,OF,329,1.95,2.476,1.932,0.0,1.335,2.799,2.787,1.897,6.62
Alec Bohm,1B,432,2.206,1.303,3.255,0.499,1.578,2.707,1.547,1.8707142857142856,6.53
Jose Altuve,2B,223,1.745,1.173,1.119,1.622,1.7,3.159,2.561,1.8684285714285715,6.52
Daulton Varsho*,OF,427,2.053,1.955,1.881,1.872,1.881,1.904,1.42,1.852285714285714,6.47
Ezequiel Tovar,SS,445,2.514,1.695,2.492,0.873,0.729,2.11,2.462,1.839285714285714,6.42
Willson Contreras,C,365,1.847,1.564,2.187,0.749,2.307,2.357,1.853,1.8377142857142856,6.42
Michael A. Taylor,OF,312,1.488,2.346,1.678,1.497,0.849,2.418,2.525,1.8287142857142857,6.38
Triston Casas*,1B,363,2.053,2.215,1.831,0.0,3.035,1.307,2.318,1.8227142857142857,6.36
Esteury Ruiz,OF,378,1.283,0.131,1.373,6.114,0.607,2.871,0.369,1.821142857142857,6.36
Trent Grisham*,OF,390,2.258,1.434,1.525,1.497,3.338,1.43,1.222,1.8148571428571427,6.34
Geraldo Perdomo#,SS,323,2.052,0.652,1.627,1.622,2.428,2.295,1.988,1.8091428571428572,6.32
Adam Duvall,OF,223,1.129,1.695,1.678,0.499,0.789,3.499,3.364,1.8075714285714284,6.31
Thairo Estrada,2B,357,1.95,1.303,1.628,2.371,0.668,2.768,1.902,1.7985714285714285,6.28
Will Benson*,OF,206,1.334,0.782,0.508,1.747,1.699,3.736,2.737,1.791857142857143,6.26
Connor Joe,OF,318,2.053,1.043,1.169,0.374,2.124,3.293,2.412,1.7811428571428571,6.22
Andrew McCutchen,DH,362,2.155,1.434,1.17,1.248,3.824,1.626,1.006,1.7804285714285712,6.22
Jake Burger,3B,294,1.642,3.258,2.035,0.125,1.031,1.018,3.332,1.7772857142857146,6.2
Wilmer Flores,1B,303,1.437,1.955,1.679,0.0,1.214,2.965,3.189,1.777,6.2
Tommy Pham,OF,231,0.872,1.173,1.322,1.372,1.456,3.602,2.624,1.7744285714285717,6.19
Anthony Volpe,SS,420,1.796,2.085,2.187,2.495,2.064,0.082,1.677,1.7694285714285714,6.18
Mike Tauchman*,OF,247,1.796,0.782,1.627,0.624,2.003,3.592,1.912,1.762285714285714,6.15
Luke Raley*,1B,305,1.899,1.955,1.628,1.497,1.032,1.472,2.837,1.7599999999999998,6.14
Orlando Arcia,SS,368,1.95,1.695,1.983,0.125,1.336,2.666,2.53,1.7550000000000001,6.13
Joey Meneses,DH,484,2.514,1.304,2.797,0.0,1.639,2.892,1.123,1.7527142857142854,6.12
Ryan Mountcastle,1B,360,2.104,1.824,2.441,0.374,1.214,1.997,2.287,1.7487142857142857,6.1
Brent Rooker,DH,359,1.899,2.737,2.034,0.249,1.882,1.194,2.192,1.741,6.08
Christopher Morel,DH,297,2.104,2.346,2.289,0.499,1.336,1.358,2.242,1.739142857142857,6.07
MJ Melendez*,OF,445,2.053,1.434,1.729,0.749,2.306,2.367,1.483,1.731571428571429,6.04
Yainer Diaz,C,286,1.539,2.216,1.933,0.0,0.061,3.17,3.174,1.7275714285714285,6.03
Elly De La Cruz#,SS,274,1.796,1.304,1.271,2.62,0.668,1.709,2.692,1.7228571428571429,6.01
Willy Adames,SS,435,2.052,2.607,2.645,0.499,2.368,0.0,1.84,1.7158571428571427,5.99
Willi Castro#,OF,278,1.539,0.522,0.813,3.618,1.153,2.892,1.461,1.714,5.98
Brandon Drury,2B,351,1.591,2.346,2.492,0.0,0.607,2.202,2.741,1.711285714285714,5.97
Chris Taylor,OF,256,1.386,1.564,1.424,1.497,1.517,2.429,2.101,1.7025714285714284,5.94
Mickey Moniak*,OF,266,0.975,1.434,1.475,0.749,0.242,4.024,2.994,1.699,5.93
Maikel Garcia,3B,346,1.642,0.521,1.577,2.371,1.274,3.272,1.217,1.6962857142857144,5.92
J.D. Davis,3B,395,1.796,1.955,2.289,0.125,2.245,1.79,1.591,1.6844285714285712,5.88
Elias Díaz,C,389,1.539,1.564,2.594,0.125,1.396,2.861,1.709,1.6839999999999997,5.88
Randal Grichuk,OF,240,1.437,0.913,0.864,0.249,0.789,4.6,2.904,1.6794285714285715,5.86
Stone Garrett,OF,234,1.437,1.043,1.525,0.374,1.274,3.623,2.475,1.6787142857142856,5.86
Andrés Giménez*,2B,435,2.207,1.434,1.933,2.62,1.336,1.255,0.96,1.677857142857143,5.86
Salvador Perez,C,439,2.206,2.346,2.492,0.0,0.729,2.182,1.754,1.6727142857142856,5.84
Carlos Santana#,1B,436,2.155,1.955,2.696,0.749,2.61,0.237,1.29,1.6702857142857144,5.83
Randal Grichuk,OF,320,1.642,1.304,1.22,0.249,0.971,3.756,2.507,1.664142857142857,5.81
